"tactic","type","technique","subtechnique","id","url","description"
"Persistence","technique","Traffic Signaling",,"T1205","https://attack.mitre.org/techniques/T1205","Adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control. Traffic signaling involves the use of a magic value or sequence that must be sent to a system to trigger a special response, such as opening a closed port or executing a malicious task. This may take the form of sending a series of packets with certain characteristics before a port will be opened that the adversary can use for command and control. Usually this series of packets consists of attempted connections to a predefined sequence of closed ports (i.e. Port Knocking), but can involve unusual flags, specific strings, or other unique characteristics. After the sequence is completed, opening a port may be accomplished by the host-based firewall, but could also be implemented by custom software."
"Persistence","subtechnique","Traffic Signaling","Port Knocking","T1205.001","https://attack.mitre.org/techniques/T1205/001","Adversaries may use port knocking to hide open ports used for persistence or command and control. To enable a port, an adversary sends a series of attempted connections to a predefined sequence of closed ports. After the sequence is completed, opening a port is often accomplished by the host based firewall, but could also be implemented by custom software."
"Persistence","technique","Valid Accounts",,"T1078","https://attack.mitre.org/techniques/T1078","Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Compromised credentials may be used to bypass access controls placed on various resources on systems within the network and may even be used for persistent access to remote systems and externally available services, such as VPNs, Outlook Web Access and remote desktop. Compromised credentials may also grant an adversary increased privilege to specific systems or access to restricted areas of the network. Adversaries may choose not to use malware or tools in conjunction with the legitimate access those credentials provide to make it harder to detect their presence."
"Persistence","subtechnique","Valid Accounts","Default Accounts","T1078.001","https://attack.mitre.org/techniques/T1078/001","Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Default accounts are those that are built-into an OS, such as the Guest or Administrator accounts on Windows systems or default factory/provider set accounts on other types of systems, software, or devices."
"Persistence","subtechnique","Valid Accounts","Domain Accounts","T1078.002","https://attack.mitre.org/techniques/T1078/002","Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Domain accounts are those managed by Active Directory Domain Services where access and permissions are configured across systems and services that are part of that domain. Domain accounts can cover users, administrators, and services."
"Persistence","subtechnique","Valid Accounts","Local Accounts","T1078.003","https://attack.mitre.org/techniques/T1078/003","Adversaries may obtain and abuse credentials of a local account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Local accounts are those configured by an organization for use by users, remote support, services, or for administration on a single system or service."
"Persistence","subtechnique","Valid Accounts","Cloud Accounts","T1078.004","https://attack.mitre.org/techniques/T1078/004","Adversaries may obtain and abuse credentials of a cloud account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or SaaS application. In some cases, cloud accounts may be federated with traditional identity management system, such as Window Active Directory."
"Privilege Escalation","tactic",,,"TA0004","https://attack.mitre.org/tactics/TA0004/","The adversary is trying to gain higher-level permissions. Privilege Escalation consists of techniques that adversaries use to gain higher-level permissions on a system or network. Adversaries can often enter and explore a network with unprivileged access but require elevated permissions to follow through on their objectives. Common approaches are to take advantage of system weaknesses, misconfigurations, and vulnerabilities. Examples of elevated access include: • SYSTEM/root level • local administrator • user account with admin-like access • user accounts with access to specific system or perform specific function These techniques often overlap with Persistence techniques, as OS features that let an adversary persist can execute in an elevated context."
"Privilege Escalation","technique","Abuse Elevation Control Mechanism",,"T1548","https://attack.mitre.org/techniques/T1548","Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk. An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system."
"Privilege Escalation","subtechnique","Abuse Elevation Control Mechanism","Setuid and Setgid","T1548.001","https://attack.mitre.org/techniques/T1548/001","An adversary may perform shell escapes or exploit vulnerabilities in an application with the setsuid or setgid bits to get code running in a different user’s context. On Linux or macOS, when the setuid or setgid bits are set for an application, the application will run with the privileges of the owning user or group respectively. . Normally an application is run in the current user’s context, regardless of which user or group owns the application. However, there are instances where programs need to be executed in an elevated context to function properly, but the user running them doesn’t need the elevated privileges."
"Privilege Escalation","subtechnique","Abuse Elevation Control Mechanism","Bypass User Access Control","T1548.002","https://attack.mitre.org/techniques/T1548/002","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action."
"Privilege Escalation","subtechnique","Abuse Elevation Control Mechanism","Sudo and Sudo Caching","T1548.003","https://attack.mitre.org/techniques/T1548/003","Adversaries may perform sudo caching and/or use the suoders file to elevate privileges. Adversaries may do this to execute commands as other users or spawn processes with higher privileges."
"Privilege Escalation","subtechnique","Abuse Elevation Control Mechanism","Elevated Execution with Prompt","T1548.004","https://attack.mitre.org/techniques/T1548/004","Adversaries may leverage the AuthorizationExecuteWithPrivileges API to escalate privileges by prompting the user for credentials. The purpose of this API is to give application developers an easy way to perform operations with root privileges, such as for application installation or updating. This API does not validate that the program requesting root privileges comes from a reputable source or has been maliciously modified."
"Privilege Escalation","technique","Access Token Manipulation",,"T1134","https://attack.mitre.org/techniques/T1134","Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls. Windows uses access tokens to determine the ownership of a running process. A user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process. When this occurs, the process also takes on the security context associated with the new token."
"Privilege Escalation","subtechnique","Access Token Manipulation","Token Impersonation/Theft","T1134.001","https://attack.mitre.org/techniques/T1134/001","Adversaries may duplicate then impersonate another user's token to escalate privileges and bypass access controls. An adversary can create a new access token that duplicates an existing token using DuplicateToken(Ex). The token can then be used with ImpersonateLoggedOnUser to allow the calling thread to impersonate a logged on user's security context, or with SetThreadToken to assign the impersonated token to a thread."
"Privilege Escalation","subtechnique","Access Token Manipulation","Create Process with Token","T1134.002","https://attack.mitre.org/techniques/T1134/002","Adversaries may create a new process with a duplicated token to escalate privileges and bypass access controls. An adversary can duplicate a desired access token with DuplicateToken(Ex) and use it with CreateProcessWithTokenW to create a new process running under the security context of the impersonated user. This is useful for creating a new process under the security context of a different user."
"Privilege Escalation","subtechnique","Access Token Manipulation","Make and Impersonate Token","T1134.003","https://attack.mitre.org/techniques/T1134/003","Adversaries may make and impersonate tokens to escalate privileges and bypass access controls. If an adversary has a username and password but the user is not logged onto the system, the adversary can then create a logon session for the user using the LogonUser function. The function will return a copy of the new session's access token and the adversary can use SetThreadToken to assign the token to a thread."
"Privilege Escalation","subtechnique","Access Token Manipulation","Parent PID Spoofing","T1134.004","https://attack.mitre.org/techniques/T1134/004","Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges. New processes are typically spawned directly from their parent, or calling, process unless explicitly specified. One way of explicitly assigning the PPID of a new process is via the CreateProcess API call, which supports a parameter that defines the PPID to use. This functionality is used by Windows features such as User Account Control (UAC) to correctly set the PPID after a requested elevated process is spawned by SYSTEM (typically via svchost.exe or consent.exe) rather than the current user context."
"Privilege Escalation","subtechnique","Access Token Manipulation","SID-History Injection","T1134.005","https://attack.mitre.org/techniques/T1134/005","Adversaries may use SID-History Injection to escalate privileges and bypass access controls. The Windows security identifier (SID) is a unique value that identifies a user or group account. SIDs are used by Windows security in both security descriptors and access tokens. An account can hold additional SIDs in the SID-History Active Directory attribute , allowing inter-operable account migration between domains (e.g., all values in SID-History are included in access tokens)."
"Privilege Escalation","technique","Boot or Logon Autostart Execution",,"T1547","https://attack.mitre.org/techniques/T1547","Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems. Operating systems may have mechanisms for automatically running a program on system boot or account logon.  These mechanisms may include automatically executing programs that are placed in specially designated directories or are referenced by repositories that store configuration information, such as the Windows Registry. An adversary may achieve the same goal by modifying or extending features of the kernel."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","Registry Run Keys / Startup Folder","T1547.001","https://attack.mitre.org/techniques/T1547/001","Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key. Adding an entry to the ""run keys"" in the Registry or startup folder will cause the program referenced to be executed when a user logs in. These programs will be executed under the context of the user and will have the account's associated permissions level."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","Authentication Package","T1547.002","https://attack.mitre.org/techniques/T1547/002","Adversaries may abuse authentication packages to execute DLLs when the system boots. Windows authentication package DLLs are loaded by the Local Security Authority (LSA) process at system start. They provide support for multiple logon processes and multiple security protocols to the operating system."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","Time Providers","T1547.003","https://attack.mitre.org/techniques/T1547/003","Adversaries may abuse time providers to execute DLLs when the system boots. The Windows Time service (W32Time) enables time synchronization across and within domains. W32Time time providers are responsible for retrieving time stamps from hardware/network resources and outputting these values to other network clients."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","Winlogon Helper DLL","T1547.004","https://attack.mitre.org/techniques/T1547/004","Adversaries may abuse features of Winlogon to execute DLLs and/or executables when a user logs in. Winlogon.exe is a Windows component responsible for actions at logon/logoff as well as the secure attention sequence (SAS) triggered by Ctrl-Alt-Delete. Registry entries in HKLM\Software[\Wow6432Node\]\Microsoft\Windows NT\CurrentVersion\Winlogon\ and HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\ are used to manage additional helper programs and functionalities that support Winlogon."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","Security Support Provider","T1547.005","https://attack.mitre.org/techniques/T1547/005","Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots. Windows SSP DLLs are loaded into the Local Security Authority (LSA) process at system start. Once loaded into the LSA, SSP DLLs have access to encrypted and plaintext passwords that are stored in Windows, such as any logged-on user's Domain password or smart card PINs."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","Kernel Modules and Extensions","T1547.006","https://attack.mitre.org/techniques/T1547/006","Adversaries may modify the kernel to automatically execute programs on system boot. Loadable Kernel Modules (LKMs) are pieces of code that can be loaded and unloaded into the kernel upon demand. They extend the functionality of the kernel without the need to reboot the system. For example, one type of module is the device driver, which allows the kernel to access hardware connected to the system."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","Re-opened Applications","T1547.007","https://attack.mitre.org/techniques/T1547/007","Adversaries may modify plist files to automatically run an application when a user logs in. Starting in Mac OS X 10.7 (Lion), users can specify certain applications to be re-opened when a user logs into their machine after reboot. While this is usually done via a Graphical User Interface (GUI) on an app-by-app basis, there are property list files (plist) that contain this information as well located at ~/Library/Preferences/com.apple.loginwindow.plist and ~/Library/Preferences/ByHost/com.apple.loginwindow.* .plist."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","LSASS Driver","T1547.008","https://attack.mitre.org/techniques/T1547/008","Adversaries may modify or add LSASS drivers to obtain persistence on compromised systems. The Windows security subsystem is a set of components that manage and enforce the security policy for a computer or domain. The Local Security Authority (LSA) is the main component responsible for local security policy and user authentication. The LSA includes multiple dynamic link libraries (DLLs) associated with various other security functions, all of which run in the context of the LSA Subsystem Service (LSASS) lsass.exe process."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","Shortcut Modification","T1547.009","https://attack.mitre.org/techniques/T1547/009","Adversaries may create or edit shortcuts to run a program during system boot or user login. Shortcuts or symbolic links are ways of referencing other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","Port Monitors","T1547.010","https://attack.mitre.org/techniques/T1547/010","Adversaries may use port monitors to run an attacker supplied DLL during system boot for persistence or privilege escalation. A port monitor can be set through the AddMonitor API call to set a DLL to be loaded at startup. This DLL can be located in C:\Windows\System32 and will be loaded by the print spooler service, spoolsv.exe, on boot. The spoolsv.exe process also runs under SYSTEM level permissions. Alternatively, an arbitrary DLL can be loaded if permissions allow writing a fully-qualified pathname for that DLL to HKLM\SYSTEM\CurrentControlSet\Control\Print\Monitors."
"Privilege Escalation","subtechnique","Boot or Logon Autostart Execution","Plist Modification","T1547.011","https://attack.mitre.org/techniques/T1547/011","Adversaries may modify plist files to run a program during system boot or user login. Property list (plist) files contain all of the information that macOS and OS X uses to configure applications and services. These files are UTF-8 encoded and formatted like XML documents via a series of keys surrounded by < >. They detail when programs should execute, file paths to the executables, program arguments, required OS permissions, and many others. plists are located in certain locations depending on their purpose such as /Library/Preferences (which execute with elevated privileges) and ~/Library/Preferences (which execute with a user's privileges)."
"Privilege Escalation","technique","Boot or Logon Initialization Scripts",,"T1037","https://attack.mitre.org/techniques/T1037","Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. Initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server. These scripts can vary based on operating system and whether applied locally or remotely."
"Privilege Escalation","subtechnique","Boot or Logon Initialization Scripts","Logon Script (Windows)","T1037.001","https://attack.mitre.org/techniques/T1037/001","Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence. Windows allows logon scripts to be run whenever a specific user or group of users log into a system. This is done via adding a path to a script to the HKCU\Environment\UserInitMprLogonScript Registry key."
"Privilege Escalation","subtechnique","Boot or Logon Initialization Scripts","Logon Script (Mac)","T1037.002","https://attack.mitre.org/techniques/T1037/002","Adversaries may use macOS logon scripts automatically executed at logon initialization to establish persistence. macOS allows logon scripts (known as login hooks) to be executed whenever a specific user logs into a system. A login hook tells Mac OS X to execute a certain script when a user logs in, but unlike Startup Items, a login hook executes as the elevated root user."
"Privilege Escalation","subtechnique","Boot or Logon Initialization Scripts","Network Logon Script","T1037.003","https://attack.mitre.org/techniques/T1037/003","Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence. Network logon scripts can be assigned using Active Directory or Group Policy Objects. These logon scripts run with the privileges of the user they are assigned to. Depending on the systems within the network, initializing one of these scripts could apply to more than one or potentially all systems."
"Privilege Escalation","subtechnique","Boot or Logon Initialization Scripts","Rc.common","T1037.004","https://attack.mitre.org/techniques/T1037/004","Adversaries may use rc.common automatically executed at boot initialization to establish persistence. During the boot process, macOS executes source /etc/rc.common, which is a shell script containing various utility functions. This file also defines routines for processing command-line arguments and for gathering system settings and is thus recommended to include in the start of Startup Item Scripts . In macOS and OS X, this is now a deprecated mechanism in favor of Launch Agent and Launch Daemon but is currently still used."
"Privilege Escalation","subtechnique","Boot or Logon Initialization Scripts","Startup Items","T1037.005","https://attack.mitre.org/techniques/T1037/005","Adversaries may use startup items automatically executed at boot initialization to establish persistence. Startup items execute during the final phase of the boot process and contain shell scripts or other executable files along with configuration information used by the system to determine the execution order for all startup items."
"Privilege Escalation","technique","Create or Modify System Process",,"T1543","https://attack.mitre.org/techniques/T1543","Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence. When operating systems boot up, they can start processes that perform background system functions. On Windows and Linux, these system processes are referred to as services. On macOS, launchd processes known as Launch Daemon and Launch Agent are run to finish system initialization and load user specific parameters."
"Privilege Escalation","subtechnique","Create or Modify System Process","Launch Agent","T1543.001","https://attack.mitre.org/techniques/T1543/001","Adversaries may create or modify launch agents to repeatedly execute malicious payloads as part of persistence. Per Apple’s developer documentation, when a user logs in, a per-user launchd process is started which loads the parameters for each launch-on-demand user agent from the property list (plist) files found in /System/Library/LaunchAgents, /Library/LaunchAgents, and $HOME/Library/LaunchAgents . These launch agents have property list files which point to the executables that will be launched."
"Privilege Escalation","subtechnique","Create or Modify System Process","Systemd Service","T1543.002","https://attack.mitre.org/techniques/T1543/002","Adversaries may create or modify systemd services to repeatedly execute malicious payloads as part of persistence. The systemd service manager is commonly used for managing background daemon processes (also known as services) and other system resources. Systemd is the default initialization (init) system on many Linux distributions starting with Debian 8, Ubuntu 15.04, CentOS 7, RHEL 7, Fedora 15, and replaces legacy init systems including SysVinit and Upstart while remaining backwards compatible with the aforementioned init systems."
"Privilege Escalation","subtechnique","Create or Modify System Process","Windows Service","T1543.003","https://attack.mitre.org/techniques/T1543/003","Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part of persistence. When Windows boots up, it starts programs or applications called services that perform background system functions. Windows service configuration information, including the file path to the service's executable or recovery programs/commands, is stored in the Windows Registry. Service configurations can be modified using utilities such as sc.exe and Reg. "
"Privilege Escalation","subtechnique","Create or Modify System Process","Launch Daemon","T1543.004","https://attack.mitre.org/techniques/T1543/004","Adversaries may create or modify launch daemons to repeatedly execute malicious payloads as part of persistence. Per Apple’s developer documentation, when macOS and OS X boot up, launchd is run to finish system initialization. This process loads the parameters for each launch-on-demand system-level daemon from the property list (plist) files found in /System/Library/LaunchDaemons and /Library/LaunchDaemons . These LaunchDaemons have property list files which point to the executables that will be launched."
"Privilege Escalation","technique","Event Triggered Execution",,"T1546","https://attack.mitre.org/techniques/T1546","Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events. Various operating systems have means to monitor and subscribe to events such as logons or other user activity such as running specific applications/binaries."
"Privilege Escalation","subtechnique","Event Triggered Execution","Change Default File Association","T1546.001","https://attack.mitre.org/techniques/T1546/001","Adversaries may establish persistence by executing malicious content triggered by a file type association. When a file is opened, the default program used to open the file (also called the file association or handler) is checked. File association selections are stored in the Windows Registry and can be edited by users, administrators, or programs that have Registry access or by administrators using the built-in assoc utility. Applications can modify the file association for a given file extension to call an arbitrary program when a file with the given extension is opened."
"Privilege Escalation","subtechnique","Event Triggered Execution","Screensaver","T1546.002","https://attack.mitre.org/techniques/T1546/002","Adversaries may establish persistence by executing malicious content triggered by user inactivity. Screensavers are programs that execute after a configurable time of user inactivity and consist of Portable Executable (PE) files with a .scr file extension. The Windows screensaver application scrnsave.scr is located in C:\Windows\System32\, and C:\Windows\sysWOW64\ on 64-bit Windows systems, along with screensavers included with base Windows installations."
"Privilege Escalation","subtechnique","Event Triggered Execution","Windows Management Instrumentation Event Subscription","T1546.003","https://attack.mitre.org/techniques/T1546/003","Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation (WMI) event subscription. WMI can be used to install event filters, providers, consumers, and bindings that execute code when a defined event occurs. Examples of events that may be subscribed to are the wall clock time, user loging, or the computer's uptime."
"Privilege Escalation","subtechnique","Event Triggered Execution",".bash_profile and .bashrc","T1546.004","https://attack.mitre.org/techniques/T1546/004","Adversaries may establish persistence by executing malicious content triggered by a user’s shell. ~/.bash_profile and ~/.bashrc are shell scripts that contain shell commands. These files are executed in a user's context when a new shell opens or when a user logs in so that their environment is set correctly."
"Privilege Escalation","subtechnique","Event Triggered Execution","Trap","T1546.005","https://attack.mitre.org/techniques/T1546/005","Adversaries may establish persistence by executing malicious content triggered by an interrupt signal. The trap command allows programs and shells to specify commands that will be executed upon receiving interrupt signals. A common situation is a script allowing for graceful termination and handling of common keyboard interrupts like ctrl+c and ctrl+d."
"Privilege Escalation","subtechnique","Event Triggered Execution","LC_LOAD_DYLIB Addition","T1546.006","https://attack.mitre.org/techniques/T1546/006","Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries. Mach-O binaries have a series of headers that are used to perform certain operations when a binary is loaded. The LC_LOAD_DYLIB header in a Mach-O binary tells macOS and OS X which dynamic libraries (dylibs) to load during execution time. These can be added ad-hoc to the compiled binary as long as adjustments are made to the rest of the fields and dependencies. There are tools available to perform these changes."
"Privilege Escalation","subtechnique","Event Triggered Execution","Netsh Helper DLL","T1546.007","https://attack.mitre.org/techniques/T1546/007","Adversaries may establish persistence by executing malicious content triggered by Netsh Helper DLLs. Netsh.exe (also referred to as Netshell) is a command-line scripting utility used to interact with the network configuration of a system. It contains functionality to add helper DLLs for extending functionality of the utility. The paths to registered netsh.exe helper DLLs are entered into the Windows Registry at HKLM\SOFTWARE\Microsoft\Netsh."
"Privilege Escalation","subtechnique","Event Triggered Execution","Accessibility Features","T1546.008","https://attack.mitre.org/techniques/T1546/008","Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features. Windows contains accessibility features that may be launched with a key combination before a user has logged in (ex: when the user is on the Windows logon screen). An adversary can modify the way these programs are launched to get a command prompt or backdoor without logging in to the system."
"Privilege Escalation","subtechnique","Event Triggered Execution","AppCert DLLs","T1546.009","https://attack.mitre.org/techniques/T1546/009","Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes. Dynamic-link libraries (DLLs) that are specified in the AppCertDLLs Registry key under HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager\ are loaded into every process that calls the ubiquitously used application programming interface (API) functions CreateProcess, CreateProcessAsUser, CreateProcessWithLoginW, CreateProcessWithTokenW, or WinExec."
"Privilege Escalation","subtechnique","Event Triggered Execution","AppInit DLLs","T1546.010","https://attack.mitre.org/techniques/T1546/010","Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes. Dynamic-link libraries (DLLs) that are specified in the AppInit_DLLs value in the Registry keys HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Windows or HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Windows are loaded by user32.dll into every process that loads user32.dll. In practice this is nearly every program, since user32.dll is a very common library."
"Privilege Escalation","subtechnique","Event Triggered Execution","Application Shimming","T1546.011","https://attack.mitre.org/techniques/T1546/011","Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims. The Microsoft Windows Application Compatibility Infrastructure/Framework (Application Shim) was created to allow for backward compatibility of software as the operating system codebase changes over time. For example, the application shimming feature allows developers to apply fixes to applications (without rewriting code) that were created for Windows XP so that it will work with Windows 10."
"Privilege Escalation","subtechnique","Event Triggered Execution","Image File Execution Options Injection","T1546.012","https://attack.mitre.org/techniques/T1546/012","Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IEFO) debuggers. IEFOs enable a developer to attach a debugger to an application. When a process is created, a debugger present in an application’s IFEO will be prepended to the application’s name, effectively launching the new process under the debugger (e.g., C:\dbg\ntsd.exe -g notepad.exe)."
"Privilege Escalation","subtechnique","Event Triggered Execution","PowerShell Profile","T1546.013","https://attack.mitre.org/techniques/T1546/013","Adversaries may gain persistence and elevate privileges by executing malicious content triggered by PowerShell profiles. A PowerShell profile (profile.ps1) is a script that runs when PowerShell starts and can be used as a logon script to customize user environments."
"Privilege Escalation","subtechnique","Event Triggered Execution","Emond","T1546.014","https://attack.mitre.org/techniques/T1546/014","Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond). Emond is a Launch Daemon that accepts events from various services, runs them through a simple rules engine, and takes action. The emond binary at /sbin/emond will load any rules from the /etc/emond.d/rules/ directory and take action once an explicitly defined event takes place."
"Privilege Escalation","subtechnique","Event Triggered Execution","Component Object Model Hijacking","T1546.015","https://attack.mitre.org/techniques/T1546/015","Adversaries may establish persistence by executing malicious content triggered by hijacked references to Component Object Model (COM) objects. COM is a system within Windows to enable interaction between software components through the operating system. References to various COM objects are stored in the Registry."
"Privilege Escalation","technique","Exploitation for Privilege Escalation",,"T1068","https://attack.mitre.org/techniques/T1068","Adversaries may exploit software vulnerabilities in an attempt to collect elevate privileges. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. Security constructs such as permission levels will often hinder access to information and use of certain techniques, so adversaries will likely need to perform privilege escalation to include use of software exploitation to circumvent those restrictions."
"Privilege Escalation","technique","Group Policy Modification",,"T1484","https://attack.mitre.org/techniques/T1484","Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain. Group policy allows for centralized management of user and computer settings in Active Directory (AD). GPOs are containers for group policy settings made up of files stored within a predicable network path \<DOMAIN>\SYSVOL\<DOMAIN>\Policies\. "
"Privilege Escalation","technique","Hijack Execution Flow",,"T1574","https://attack.mitre.org/techniques/T1574","Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs. Hijacking execution flow can be for the purposes of persistence, since this hijacked execution may reoccur over time. Adversaries may also use these mechanisms to elevate privileges or evade defenses, such as application control or other restrictions on execution."
"Privilege Escalation","subtechnique","Hijack Execution Flow","DLL Search Order Hijacking","T1574.001","https://attack.mitre.org/techniques/T1574/001","Adversaries may execute their own malicious payloads by hijacking the search order used to load DLLs. Windows systems use a common method to look for required DLLs to load into a program. Hijacking DLL loads may be for the purpose of establishing persistence as well as elevating privileges and/or evading restrictions on file execution."
"Privilege Escalation","subtechnique","Hijack Execution Flow","DLL Side-Loading","T1574.002","https://attack.mitre.org/techniques/T1574/002","Adversaries may execute their own malicious payloads by hijacking the library manifest used to load DLLs. Adversaries may take advantage of vague references in the library manifest of a program by replacing a legitimate library with a malicious one, causing the operating system to load their malicious library when it is called for by the victim program."
"Privilege Escalation","subtechnique","Hijack Execution Flow","Dylib Hijacking","T1574.004","https://attack.mitre.org/techniques/T1574/004","Adversaries may execute their own malicious payloads by hijacking ambiguous paths used to load libraries. Adversaries may plant trojan dynamic libraries, in a directory that will be searched by the operating system before the legitimate library specified by the victim program, so that their malicious library will be loaded into the victim program instead. MacOS and OS X use a common method to look for required dynamic libraries (dylib) to load into a program based on search paths."
"Privilege Escalation","subtechnique","Hijack Execution Flow","Executable Installer File Permissions Weakness","T1574.005","https://attack.mitre.org/techniques/T1574/005","Adversaries may execute their own malicious payloads by hijacking the binaries used by an installer. These processes may automatically execute specific binaries as part of their functionality or to perform other actions. If the permissions on the file system directory containing a target binary, or permissions on the binary itself, are improperly set, then the target binary may be overwritten with another binary using user-level permissions and executed by the original process. If the original process and thread are running under a higher permissions level, then the replaced binary will also execute under higher-level permissions, which could include SYSTEM."
"Privilege Escalation","subtechnique","Hijack Execution Flow","LD_PRELOAD","T1574.006","https://attack.mitre.org/techniques/T1574/006","Adversaries may execute their own malicious payloads by hijacking the dynamic linker used to load libraries. The dynamic linker is used to load shared library dependencies needed by an executing program. The dynamic linker will typically check provided absolute paths and common directories for these dependencies, but can be overridden by shared objects specified by LD_PRELOAD to be loaded before all others."
"Privilege Escalation","subtechnique","Hijack Execution Flow","Path Interception by PATH Environment Variable","T1574.007","https://attack.mitre.org/techniques/T1574/007","Adversaries may execute their own malicious payloads by hijacking environment variables used to load libraries. Adversaries may place a program in an earlier entry in the list of directories stored in the PATH environment variable, which Windows will then execute when it searches sequentially through that PATH listing in search of the binary that was called from a script or the command line."
"Privilege Escalation","subtechnique","Hijack Execution Flow","Path Interception by Search Order Hijacking","T1574.008","https://attack.mitre.org/techniques/T1574/008","Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs. Because some programs do not call other programs using the full path, adversaries may place their own file in the directory where the calling program is located, causing the operating system to launch their malicious software at the request of the calling program."
"Privilege Escalation","subtechnique","Hijack Execution Flow","Path Interception by Unquoted Path","T1574.009","https://attack.mitre.org/techniques/T1574/009","Adversaries may execute their own malicious payloads by hijacking vulnerable file path references. Adversaries can take advantage of paths that lack surrounding quotations by placing an executable in a higher level directory within the path, so that Windows will choose the adversary's executable to launch."
"Privilege Escalation","subtechnique","Hijack Execution Flow","Services File Permissions Weakness","T1574.010","https://attack.mitre.org/techniques/T1574/010","Adversaries may execute their own malicious payloads by hijacking the binaries used by services. Adversaries may use flaws in the permissions of Windows services to replace the binary that is executed upon service start. These service processes may automatically execute specific binaries as part of their functionality or to perform other actions. If the permissions on the file system directory containing a target binary, or permissions on the binary itself are improperly set, then the target binary may be overwritten with another binary using user-level permissions and executed by the original process. If the original process and thread are running under a higher permissions level, then the replaced binary will also execute under higher-level permissions, which could include SYSTEM."
